iter	Passed	Remaining
0	5	560
1	11	564
2	16	549
3	22	534
4	27	524
5	32	512
6	37	499
7	42	489
8	47	480
9	52	472
10	57	465
11	62	456
12	67	449
13	71	441
14	76	435
15	81	429
16	82	403
17	87	398
18	92	393
19	97	388
20	102	383
21	106	378
22	111	374
23	116	370
24	121	365
25	126	360
26	131	355
27	136	351
28	141	347
29	146	342
30	151	337
31	156	332
32	161	327
33	166	322
34	171	317
35	175	312
36	180	307
37	185	302
38	190	297
39	195	292
40	200	288
41	205	283
42	207	275
43	212	270
44	217	266
45	222	261
46	227	256
47	232	251
48	237	247
49	242	242
50	247	238
51	252	233
52	257	228
53	262	223
54	267	218
55	272	214
56	277	209
57	281	204
58	286	199
59	291	194
60	296	189
61	301	184
62	306	180
63	311	175
64	316	170
65	321	165
66	326	160
67	330	155
68	335	150
69	340	145
70	345	141
71	350	136
72	355	131
73	360	126
74	365	121
75	370	116
76	374	111
77	379	107
78	384	102
79	389	97
80	391	91
81	392	86
82	397	81
83	398	75
84	403	71
85	408	66
86	413	61
87	418	57
88	419	51
89	424	47
90	429	42
91	434	37
92	438	33
93	443	28
94	445	23
95	450	18
96	455	14
97	460	9
98	464	4
99	469	0
